cidr,asname,country
1.160.0.0/12,"HINET Data Communication Business Group",TW
1.160.0.0/16,"HINET Data Communication Business Group",TW
1.187.224.0/19,"ICLNET-AS-AP Idea Cellular Limited",IN
1.20.247.0/24,"TOT-NET TOT Public Company Limited",TH
1.232.0.0/13,"HANARO-AS Hanaro Telecom Inc.",KR
1.233.255.0/24,"YONSEI-AS-KR Yonsei University",KR
1.240.0.0/24,"HANARO-AS Hanaro Telecom Inc.",KR
1.32.21.0/24,"TMNET-AS-AP TM Net, Internet Service Provider",MY
1.32.64.0/18,"TMNET-AS-AP TM Net, Internet Service Provider",MY
1.39.96.0/22,"HUTCHVAS-AS Vodafone Essar Ltd., Telecommunication - Value Added Services",IN
1.53.224.0/20,"FPT-AS-AP The Corporation for Financing & Promoting Technology",VN
1.9.123.0/24,"TMNET-AS-AP TM Net, Internet Service Provider",MY
100.42.61.0/24,"SOFTLAYER - SoftLayer Technologies Inc.",US
101.0.64.0/18,"DIGITALPACIFIC-AU Digital Pacific Pty Ltd Australia",AU
101.100.170.0/24,"MYHOSTING-AS-AP MYHOSTING",SG
101.110.128.0/17,"NTT-COMMUNICATIONS-2914 - NTT America, Inc.",US
101.16.0.0/12,"CHINA169-BACKBONE CNCGROUP China169 Backbone",CN
101.160.0.0/11,"ASN-TELSTRA Telstra Pty Ltd",AU
101.224.0.0/13,"CHINANET-SH-AP China Telecom (Group)",CN
101.255.0.0/17,"TACHYON-AS-ID PT Remala Abadi",ID
101.255.64.0/18,"TACHYON-AS-ID PT Remala Abadi",ID
101.51.64.0/18,"TOTNET-TH-AS-AP TOT Public Company Limited",TH
101.64.0.0/13,"CHINA169-BACKBONE CNCGROUP China169 Backbone",CN
101.98.200.0/21,"CALLPLUS-NZ-AP CallPlus Services Limited",NZ
101.99.64.0/21,"PIRADIUS-AS PIRADIUS NET AS45839",MY
103.10.157.0/24,"IPSERVERONE-AS-AP IP ServerOne Solutions Sdn Bhd",MY
103.10.158.0/23,"IPSERVERONE-AS-AP IP ServerOne Solutions Sdn Bhd",MY
103.10.199.0/24,"PSWITCH-HK PACSWITCH GLOBAL IP NETWORK",HK
103.14.232.0/24,"INTECHONLINE-IN Intech Online Private Limited",IN
103.15.132.0/24,"SPEEDVPS-AS-AP Pacificnet Hosting Ltd",HK
103.17.181.0/24,"ICOMBANGLADESHLTD-BD ping by ICOM Bangladesh Ltd",BD
103.18.244.0/22,"EXABYTES-AS-AP Exa Bytes Network Sdn.Bhd.",MY
103.21.58.0/23,"CONFLUENCE-NETWORK-INC - Confluence Networks Inc",VG
103.233.80.0/23,"VPLS VPLS ASIA",TH
103.234.26.0/24,"BTSNET-AS-BD-AP BTS Communications (BD) ltd",BD
103.238.129.0/24,"SERVERCENTRAL - Server Central Network",US
103.241.181.0/24,"CTRLS-AS-IN CtrlS Datacenters Ltd.",IN
103.245.205.0/24,"NEXT-BD Next Online Limited",BD
103.247.9.0/24,"RUMAHWEB-AS-ID Rumahweb Indonesia CV.",ID
103.249.28.0/24,"KIXS-AS-KR Korea Telecom",KR
103.254.126.0/23,"INTERLINK-TECH-AS-ID INTERLINK TECHNOLOGY, PT",ID
103.254.136.0/22,"AUSTDOM-AS-AP Aust Domains International Pty Ltd.",AU
103.254.148.0/22,NO_N,ZZ
103.27.127.0/24,"SUNNYVISION-AS-AP SunnyVision Limited",HK
103.3.82.0/24,"USATV-DAGUPAN-AS-AP Dagupan Urban Satellite Vision Inc.",PH
103.30.138.0/24,NO_N,ZZ
103.38.100.0/24,"LAXONET-AS-ID Laxo Global Akses, PT",ID
103.39.76.0/22,"SUNHK-DATA-AS-AP Sun Network (Hong Kong) Limited",HK
103.43.19.0/24,NO_N,ZZ
103.9.170.0/23,"SYNERGYWHOLESALE-AP SYNERGY WHOLESALE PTY LTD",AU
103.9.76.0/22,"VNPT-AS-VN Vietnam Posts and Telecommunications (VNPT)",VN
104.0.0.0/12,"ATT-INTERNET4 - AT&T Services, Inc.",US
104.128.16.0/20,"TELENTIA - Telentia",US
104.130.192.0/19,"RACKSPACE - Rackspace Hosting",US
104.131.0.0/16,NO_N,ZZ
104.131.0.0/18,NO_N,ZZ
104.131.192.0/19,"DIGITALOCEAN-ASN-NY2 - Digital Ocean, Inc.",US
104.131.64.0/18,NO_N,ZZ
104.137.192.0/19,"BHN-TAMPA - BRIGHT HOUSE NETWORKS, LLC",US
104.148.38.0/24,"GLOBAL-FRAG-NETWORKS - Global Frag Networks",US
104.149.238.0/24,"AS40676 - Psychz Networks",US
104.152.168.0/22,"CROCWEB - CrocWeb",CA
104.153.44.0/24,"WEBLINE19 - Webline Services Inc",US
104.154.0.0/15,"GOOGLE - Google Inc.",US
104.156.224.0/19,"AS-CHOOPA - Choopa, LLC",US
104.168.0.0/17,"AS-COLOCROSSING - ColoCrossing",US
104.168.32.0/19,"AS-COLOCROSSING - ColoCrossing",US
104.171.0.0/22,"SOFTLAYER - SoftLayer Technologies Inc.",US
104.192.0.0/22,"DATAWAGON - DataWagon LLC",US
104.193.9.0/24,"VOLUMEDRIVE - VolumeDrive",US
104.194.0.0/19,"VERSAWEB-ASN - Versaweb, LLC",US
104.194.224.0/19,"MULTA-ASN1 - MULTACOM CORPORATION",US
104.196.0.0/14,"GOOGLE - Google Inc.",US
104.200.151.0/24,"TOTAL-SERVER-SOLUTIONS - Total Server Solutions L.L.C.",US
104.200.78.0/24,"LEASEWEB-NL LeaseWeb Netherlands B.V.",NL
104.207.130.0/23,"AS-CHOOPA - Choopa, LLC",US
104.207.148.0/22,"AS-CHOOPA - Choopa, LLC",US
104.207.156.0/22,"AS-CHOOPA - Choopa, LLC",US
104.208.0.0/13,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation",US
104.218.232.0/24,"SERVERHUB-DALLAS - Eonix Corporation",US
104.218.234.0/23,"SERVERHUB-DALLAS - Eonix Corporation",US
104.224.0.0/18,"ROYA - Roya Hosting LLC",US
104.236.0.0/16,NO_N,ZZ
104.236.0.0/18,NO_N,ZZ
104.236.192.0/18,NO_N,ZZ
104.236.64.0/18,NO_N,ZZ
104.237.128.0/19,"SOFTLAYER - SoftLayer Technologies Inc.",US
104.238.128.0/18,"AS-CHOOPA - Choopa, LLC",US
104.238.144.0/23,"AS-CHOOPA - Choopa, LLC",US
104.238.152.0/22,"AS-CHOOPA - Choopa, LLC",US
104.238.176.0/23,"AS-CHOOPA - Choopa, LLC",US
104.238.80.0/22,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC",US
104.238.92.0/22,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC",US
104.245.38.0/23,"ATLANTIC-NET - Atlantic.net, Inc.",US
104.254.88.0/21,"GLOBECORP-NETWORKS - Globecorp Networks",US
104.255.64.0/21,"VOLUMEDRIVE - VolumeDrive",US
104.32.0.0/14,"ROADRUNNER-WEST - Time Warner Cable Internet LLC",US
104.40.0.0/13,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation",US
105.101.0.0/16,ALGTEL-AS,DZ
105.106.0.0/16,ALGTEL-AS,DZ
105.109.128.0/19,ALGTEL-AS,DZ
105.111.0.0/17,ALGTEL-AS,DZ
105.152.0.0/16,IAM-AS,MA
105.155.144.0/21,MT-MPLS,MA
105.158.16.0/21,MT-MPLS,MA
105.208.0.0/12,MTNNS-AS,ZA
105.224.0.0/14,Telkom-Internet,ZA
105.225.1.0/24,Telkom-Internet,ZA
