cidr	origin	asname	country
1.160.0.0/12	3462	"Data Communication Business Group"	TW
1.160.0.0/16	3462	"Data Communication Business Group"	TW
1.187.224.0/19	45271	"Idea Cellular Limited"	IN
1.20.247.0/24	23969	"TOT Public Company Limited"	TH
1.232.0.0/13	9318	"Hanaro Telecom Inc."	KR
1.233.255.0/24	4665	"Yonsei University"	KR
1.240.0.0/24	38415	"Guri Namyangju Office Of Education"	KR
1.32.21.0/24	4788	"TM Net, Internet Service Provider"	MY
1.32.64.0/18	4788	"TM Net, Internet Service Provider"	MY
1.39.96.0/22	38266	"Vodafone Essar Ltd., Telecommunication - Value Added Services"	IN
1.53.224.0/20	18403	"The Corporation for Financing & Promoting Technology"	VN
1.9.123.0/24	4788	"TM Net, Internet Service Provider"	MY
100.42.48.0/24	20013	"CyrusOne LLC"	US
100.42.49.0/24	36351	"SoftLayer Technologies Inc."	US
100.42.50.0/23	36351	"SoftLayer Technologies Inc."	US
100.42.52.0/22	20013	"CyrusOne LLC"	US
100.42.52.0/24	20013	"CyrusOne LLC"	US
100.42.53.0/24	20013	"CyrusOne LLC"	US
100.42.54.0/24	20013	"CyrusOne LLC"	US
100.42.56.0/24	36351	"SoftLayer Technologies Inc."	US
100.42.57.0/24	36351	"SoftLayer Technologies Inc."	US
100.42.58.0/23	20013	"CyrusOne LLC"	US
100.42.58.0/24	20013	"CyrusOne LLC"	US
100.42.59.0/24	20013	"CyrusOne LLC"	US
100.42.60.0/24	36351	"SoftLayer Technologies Inc."	US
100.42.61.0/24	36351	"SoftLayer Technologies Inc."	US
100.42.62.0/24	36351	"SoftLayer Technologies Inc."	US
100.42.63.0/24	20013	"CyrusOne LLC"	US
101.0.64.0/18	55803	"Digital Pacific Pty Ltd Australia"	AU
101.100.170.0/24	56300	MYHOSTING	SG
101.110.128.0/17			JP
101.16.0.0/12	4837	"CNCGROUP China169 Backbone"	CN
101.160.0.0/11	1221	"Telstra Pty Ltd"	AU
101.224.0.0/13	4812	"China Telecom (Group)"	CN
101.255.0.0/17	38511	"PT Remala Abadi"	ID
101.255.64.0/18	38511	"PT Remala Abadi"	ID
101.51.64.0/18	23969	"TOT Public Company Limited"	TH
101.64.0.0/13	4837	"CNCGROUP China169 Backbone"	CN
101.98.200.0/21	9790	"CallPlus Services Limited"	NZ
101.99.64.0/21	45839	"PIRADIUS NET"	MY
103.1.172.0/22	26496	"GoDaddy.com, LLC"	SG
103.10.157.0/24	45352	"IP ServerOne Solutions Sdn Bhd"	MY
103.10.158.0/23	45352	"IP ServerOne Solutions Sdn Bhd"	MY
103.10.199.0/24	55536	"PACSWITCH GLOBAL IP NETWORK"	HK
103.13.240.0/24	17619	POWERNETIX	IN
103.13.241.0/24	33182	"HostDime.com, Inc."	IN
103.13.242.0/24	33182	"HostDime.com, Inc."	IN
103.13.243.0/24	17619	POWERNETIX	IN
103.14.232.0/24	58678	"Intech Online Private Limited"	IN
103.15.132.0/24	24549	"Pacificnet Hosting Ltd"	HK
103.17.181.0/24	58826	"ping by ICOM Bangladesh Ltd"	BD
103.18.244.0/22	46015	"Exa Bytes Network Sdn.Bhd."	MY
103.194.112.0/24	24466	hd.net.nz	NZ
103.194.113.0/24	58940	"Exigent Enterprise Pty Ltd."	AU
103.194.168.0/24	133229	"HostPalace Network Services"	NL
103.194.169.0/24	133229	"HostPalace Network Services"	NL
103.194.170.0/24	133229	"HostPalace Network Services"	NL
103.194.171.0/24	133229	"HostPalace Network Services"	NL
103.194.47.0/24	13354	"EBL Global Networks, Inc."	IN
103.198.77.0/24	59253	"Leaseweb Asia Pacific pte. ltd."	SG
103.21.58.0/23	40034	"Confluence Networks Inc"	IN
103.231.107.0/24	38197	"Sun Network (Hong Kong) Limited"	HK
103.233.80.0/23	45652	"VPLS ASIA"	TH
103.234.26.0/24	38200	"BTS Communications (BD) ltd"	BD
103.238.129.0/24	23352	"Server Central Network"	AU
103.241.181.0/24	18229	"CtrlS Datacenters Ltd."	IN
103.245.205.0/24	9441	"Next Online Limited"	BD
103.246.148.0/23	38895	"Amazon.com Tech Telecom"	SG
103.246.150.0/23	16509	"Amazon.com, Inc."	JP
103.247.9.0/24	58487	"Rumahweb Indonesia CV."	ID
103.249.108.0/24	133199	"SonderCloud Limited"	HK
103.249.109.0/24	133199	"SonderCloud Limited"	HK
103.249.110.0/24	133199	"SonderCloud Limited"	HK
103.249.111.0/24	133199	"SonderCloud Limited"	HK
103.249.28.0/24	4766	"Korea Telecom"	KR
103.249.70.0/24	3223	"Voxility S.R.L."	RO
103.252.220.0/22	133229	"HostPalace Network Services"	NL
103.253.144.0/22	133165	"Digital Ocean, Inc."	SG
103.254.126.0/23	45298	"INTERLINK TECHNOLOGY, PT"	ID
103.254.136.0/22	38719	"Aust Domains International Pty Ltd."	AU
103.254.148.0/22	133199	"SonderCloud Limited"	HK
103.254.148.0/24	133199	"SonderCloud Limited"	HK
103.254.149.0/24	133199	"SonderCloud Limited"	HK
103.254.150.0/24	133199	"SonderCloud Limited"	HK
103.254.151.0/24	133199	"SonderCloud Limited"	HK
103.27.127.0/24	38478	"SunnyVision Limited"	HK
103.3.166.0/24	46475	"Limestone Networks, Inc."	US
103.3.60.0/22	63949	"Linode, LLC"	SG
103.3.82.0/24	56262	"Dagupan Urban Satellite Vision Inc."	PH
103.30.138.0/24	132471	MTNAFGHANISTAN	AF
103.30.196.0/22	32748	"Steadfast Networks"	PK
103.35.180.0/23	29066	"velia.net Internetdienste GmbH"	SG
103.35.182.0/23	59253	"Leaseweb Asia Pacific pte. ltd."	SG
103.38.100.0/24	38524	"Laxo Global Akses, PT"	ID
103.39.76.0/22	38197	"Sun Network (Hong Kong) Limited"	HK
103.4.8.0/21	16509	"Amazon.com, Inc."	JP
103.43.19.0/24	132883	"Hong Kong San Ai Net Int'l Limited"	CN
103.43.72.0/22	20473	"Choopa, LLC"	AU
103.47.155.0/24	59253	"Leaseweb Asia Pacific pte. ltd."	SG
103.5.12.0/22	16276	"OVH SAS"	HK
103.53.40.0/24	40034	"Confluence Networks Inc"	IN
103.53.41.0/24	40034	"Confluence Networks Inc"	IN
103.53.42.0/24	40034	"Confluence Networks Inc"	IN
103.53.43.0/24	40034	"Confluence Networks Inc"	IN
103.54.84.0/22	32748	"Steadfast Networks"	PK
103.59.144.0/22	133199	"SonderCloud Limited"	HK
103.9.170.0/23	45638	"SYNERGY WHOLESALE PTY LTD"	AU
103.9.76.0/22	7643	"Vietnam Posts and Telecommunications (VNPT)"	VN
104.0.0.0/12	7018	"AT&T Services, Inc."	US
104.128.16.0/20	22676	Telentia	US
104.129.0.0/18	8100	"QuadraNet, Inc"	US
104.129.26.0/23	22298	Xlitt	US
104.129.28.0/22	8100	"QuadraNet, Inc"	US
104.129.36.0/22	8100	"QuadraNet, Inc"	US
104.129.40.0/21	8100	"QuadraNet, Inc"	US
104.129.48.0/21	8100	"QuadraNet, Inc"	US
104.129.60.0/22	8100	"QuadraNet, Inc"	US
104.130.0.0/18	27357	"Rackspace Hosting"	US
104.130.112.0/21	19994	"Rackspace Hosting"	US
104.130.120.0/22	27357	"Rackspace Hosting"	US
104.130.124.0/22	33070	"Rackspace Hosting"	US
104.130.128.0/19	33070	"Rackspace Hosting"	US
104.130.160.0/19	27357	"Rackspace Hosting"	US
104.130.192.0/19	19994	"Rackspace Hosting"	US
104.130.224.0/20	27357	"Rackspace Hosting"	US
104.130.240.0/20	33070	"Rackspace Hosting"	US
104.130.64.0/20	19994	"Rackspace Hosting"	US
104.130.80.0/20	19994	"Rackspace Hosting"	US
104.130.96.0/20	19994	"Rackspace Hosting"	US
104.131.0.0/16	393406	"Digital Ocean, Inc."	US
104.131.0.0/18	393406	"Digital Ocean, Inc."	US
104.131.128.0/20	14061	"Digital Ocean, Inc."	US
104.131.144.0/20	14061	"Digital Ocean, Inc."	US
104.131.160.0/20	393406	"Digital Ocean, Inc."	US
104.131.176.0/20	393406	"Digital Ocean, Inc."	US
104.131.192.0/19	62567	"Digital Ocean, Inc."	US
104.131.224.0/19	62567	"Digital Ocean, Inc."	US
104.131.64.0/18	393406	"Digital Ocean, Inc."	US
104.137.192.0/19	33363	"BRIGHT HOUSE NETWORKS, LLC"	US
104.143.72.0/21	13739	"Datacenter IP, LLC"	US
104.148.38.0/24	46573	"Global Frag Networks"	US
104.149.0.0/16	40676	"Psychz Networks"	US
104.149.205.0/24	40676	"Psychz Networks"	US
104.149.228.0/24	40676	"Psychz Networks"	US
104.149.23.0/24	40676	"Psychz Networks"	US
104.149.232.0/24	40676	"Psychz Networks"	US
104.149.238.0/24	40676	"Psychz Networks"	US
104.149.239.0/24	40676	"Psychz Networks"	US
104.149.251.0/24	40676	"Psychz Networks"	US
104.149.6.0/24	40676	"Psychz Networks"	US
104.149.87.0/24	63975	"Long Live Network Technology"	US
104.152.168.0/22	63068	CrocWeb	CA
104.152.44.0/24	3223	"Voxility S.R.L."	US
104.152.45.0/24	3223	"Voxility S.R.L."	US
104.152.46.0/24	3223	"Voxility S.R.L."	US
104.152.47.0/24	3223	"Voxility S.R.L."	US
104.152.64.0/21	20013	"CyrusOne LLC"	US
104.152.64.0/24	20013	"CyrusOne LLC"	US
104.152.65.0/24	20013	"CyrusOne LLC"	US
104.152.66.0/24	20013	"CyrusOne LLC"	US
104.152.67.0/24	20013	"CyrusOne LLC"	US
104.152.68.0/24	20013	"CyrusOne LLC"	US
104.152.69.0/24	20013	"CyrusOne LLC"	US
104.152.71.0/24	20013	"CyrusOne LLC"	US
104.153.44.0/24	29757	"Webline Services Inc"	US
104.153.80.0/22	15085	"Immedion, LLC"	US
104.153.83.0/24	394279	"Microglobe LLC"	US
104.156.224.0/19	20473	"Choopa, LLC"	US
104.156.224.0/22	20473	"Choopa, LLC"	US
104.156.228.0/22	20473	"Choopa, LLC"	US
104.156.234.0/23	20473	"Choopa, LLC"	US
104.156.236.0/23	20473	"Choopa, LLC"	US
104.156.240.0/21	20473	"Choopa, LLC"	US
104.156.248.0/22	20473	"Choopa, LLC"	US
104.160.160.0/24	46844	Sharktech	US
104.160.161.0/24	46844	Sharktech	US
104.160.162.0/24	46844	Sharktech	US
104.160.163.0/24	46844	Sharktech	US
104.160.164.0/24	46844	Sharktech	US
104.160.165.0/24	46844	Sharktech	US
104.160.166.0/24	46844	Sharktech	US
104.160.167.0/24	46844	Sharktech	US
104.160.168.0/24	46844	Sharktech	US
104.160.169.0/24	46844	Sharktech	US
104.160.170.0/24	46844	Sharktech	US
104.160.171.0/24	46844	Sharktech	US
104.160.172.0/24	46844	Sharktech	US
104.160.173.0/24	46844	Sharktech	US
104.160.174.0/24	46844	Sharktech	US
104.160.175.0/24	46844	Sharktech	US
104.160.176.0/24	46844	Sharktech	US
104.160.177.0/24	46844	Sharktech	US
104.160.178.0/24	46844	Sharktech	US
104.160.179.0/24	46844	Sharktech	US
104.160.180.0/24	46844	Sharktech	US
104.160.181.0/24	46844	Sharktech	US
104.160.182.0/24	46844	Sharktech	US
104.160.183.0/24	46844	Sharktech	US
104.160.184.0/24	46844	Sharktech	US
104.160.185.0/24	46844	Sharktech	US
104.160.186.0/24	46844	Sharktech	US
104.160.187.0/24	46844	Sharktech	US
104.160.188.0/24	46844	Sharktech	US
104.160.189.0/24	46844	Sharktech	US
104.160.190.0/24	46844	Sharktech	US
104.160.191.0/24	46844	Sharktech	US
104.166.119.0/24	47447	"23Media GmbH"	BN
104.167.193.0/24	47447	"23Media GmbH"	SY
104.167.198.0/24	47447	"23Media GmbH"	LB
104.167.211.0/24	47447	"23Media GmbH"	PK
104.167.213.0/24	47447	"23Media GmbH"	OM
104.168.0.0/17	36352	ColoCrossing	US
104.168.0.0/21	36352	ColoCrossing	US
104.168.112.0/22	36352	ColoCrossing	US
104.168.116.0/22	36352	ColoCrossing	US
104.168.12.0/23	36352	ColoCrossing	US
104.168.120.0/21	36352	ColoCrossing	US
104.168.14.0/24	36352	ColoCrossing	US
104.168.15.0/24	36352	ColoCrossing	US
104.168.16.0/22	36352	ColoCrossing	US
104.168.20.0/23	36352	ColoCrossing	US
104.168.22.0/24	36352	ColoCrossing	US
104.168.23.0/24	36352	ColoCrossing	US
104.168.24.0/21	36352	ColoCrossing	US
104.168.32.0/19	36352	ColoCrossing	US
104.168.64.0/21	36352	ColoCrossing	US
104.168.72.0/24	36352	ColoCrossing	US
